,time_sec,number_total_car,number_departed_car,number_arrived_car,avg_wait_sec,avg_speed_mps,std_queue,avg_queue
263,7890,25,0,2,4.0,7.055589781055602,1.3919410907075054,0.75
264,7920,28,0,0,16.714285714285715,2.238831806321562,3.07967124868873,2.375
265,7950,37,0,1,6.135135135135135,7.949154666191271,1.5360257159305635,0.875
266,7980,29,0,1,4.413793103448276,7.467362857632766,1.5360257159305635,0.875
267,8010,25,1,1,0.96,8.85433660719501,0.9921567416492215,0.375
268,8040,23,0,1,4.565217391304348,6.06500853948338,1.7320508075688772,1.0
269,8070,26,0,0,3.5,7.403314279350159,1.299038105676658,0.75
270,8100,26,0,2,3.5,6.570652264571944,1.6909686573085854,0.875
271,8130,28,0,0,15.535714285714286,4.8890354211905676,3.191786333700926,1.75
272,8160,32,0,1,2.4375,8.253672134463837,1.1110243021644486,0.625
273,8190,30,1,0,14.733333333333333,2.343238786628006,2.9154759474226504,2.5
274,8220,39,0,1,8.948717948717949,6.782418889467576,2.8256636388643286,1.625
275,8250,34,1,1,2.264705882352941,8.004514940083272,1.6393596310755,0.75
276,8280,27,0,0,5.148148148148148,6.587123179437781,2.0879116360612584,1.125
277,8310,27,0,2,3.8518518518518516,6.527430658372969,1.8027756377319946,1.0
278,8340,26,0,1,1.1923076923076923,8.947629361702937,0.9921567416492215,0.375
279,8370,20,0,2,2.3,7.122520161669938,0.8660254037844386,0.5
280,8400,25,2,0,1.72,7.432428930219101,0.82915619758885,0.75
281,8430,28,0,0,14.0,2.393422234042488,2.8695600708122493,2.375
282,8460,38,1,1,7.7631578947368425,7.083371567195682,2.598076211353316,1.5
283,8490,30,0,0,1.9666666666666666,8.89047584007019,1.1110243021644486,0.625
284,8520,25,1,0,3.6,5.808147027766646,2.0879116360612584,1.125
285,8550,28,0,1,2.4642857142857144,7.759311274577592,1.299038105676658,0.75
286,8580,25,0,1,3.0,8.016769189835692,1.299038105676658,0.75
287,8610,30,1,0,15.333333333333334,2.154673927993534,2.9553976043842223,2.625
288,8640,38,0,2,11.447368421052632,7.501869398231903,2.394655507583502,1.375
289,8670,30,2,1,2.966666666666667,7.787031504717393,1.7320508075688772,1.0
290,8700,25,0,1,4.04,7.6735128295134905,1.299038105676658,0.75
291,8730,25,0,1,5.92,5.927178735402609,1.964529205687714,1.125
292,8760,28,1,0,2.75,8.499278563938303,1.0897247358851685,0.75
293,8790,24,1,2,3.5416666666666665,7.896158717083213,1.1110243021644486,0.625
294,8820,22,0,2,3.727272727272727,7.051835365491429,1.299038105676658,0.75
295,8850,25,0,2,1.72,7.9668754413352145,0.6959705453537527,0.375
296,8880,23,1,1,3.869565217391304,6.241485513407261,1.5,1.0
297,8910,25,0,1,3.52,7.08965952663525,1.984313483298443,0.75
298,8940,25,0,2,4.2,6.507801055387648,1.6583123951777,1.0
299,8970,26,0,2,3.423076923076923,7.338450748415611,1.3919410907075054,0.75
300,9000,25,1,1,2.8,7.678826712783074,1.0897247358851685,0.75
301,9030,24,0,1,4.375,6.851549185599417,1.5360257159305635,0.875
302,9060,26,1,1,3.730769230769231,6.455133632408518,1.7633419974582356,1.125
303,9090,26,1,2,3.8076923076923075,7.599719024680922,1.5360257159305635,0.875
304,9120,25,1,0,2.0,9.150861160743569,0.7071067811865476,0.5
305,9150,22,0,1,5.181818181818182,6.63691894301441,1.299038105676658,0.75
306,9180,26,0,0,2.6538461538461537,7.5840008967989565,1.299038105676658,0.75
