,Simulation_step,avg_wait_time_30,reward_30,reward_epoch
204,150,50.81609195402299,-13.316091954022987,-50.81609195402299
205,180,65.95652173913044,-15.14042978510745,-65.95652173913044
206,210,77.81914893617021,-11.862627197039771,-77.81914893617021
207,240,83.83505154639175,-6.015902610221545,-83.83505154639175
208,270,75.64444444444445,8.190607101947307,-75.64444444444445
209,300,80.34117647058824,-4.696732026143792,-80.34117647058824
210,330,80.66279069767442,-0.3216142270861866,-80.66279069767442
211,360,75.4659090909091,5.196881606765331,-75.4659090909091
212,390,75.52688172043011,-0.06097262952101801,-75.52688172043011
213,420,78.97849462365592,-3.451612903225808,-78.97849462365592
214,450,82.30927835051547,-3.3307837268595506,-82.30927835051547
215,480,84.81188118811882,-2.502602837603348,-84.81188118811882
216,510,82.20183486238533,2.6100463257334923,-82.20183486238533
217,540,83.09649122807018,-0.8946563656848525,-83.09649122807018
218,570,84.08403361344538,-0.9875423853752068,-84.08403361344538
219,600,85.95726495726495,-1.873231343819569,-85.95726495726495
220,630,78.12173913043478,7.835525826830178,-78.12173913043478
221,660,68.65420560747664,9.467533522958135,-68.65420560747664
222,690,66.16190476190476,2.492300845571876,-66.16190476190476
223,720,66.71900826446281,-0.55710350255805,-66.71900826446281
224,750,77.5,-10.780991735537185,-77.5
225,780,92.10655737704919,-14.606557377049185,-92.10655737704919
226,810,98.77049180327869,-6.663934426229503,-98.77049180327869
227,840,99.97540983606558,-1.2049180327868925,-99.97540983606558
228,870,100.0,-0.024590163934419706,-100.0
229,900,98.375,1.625,-98.375
230,930,93.83739837398375,4.537601626016254,-93.83739837398375
231,960,91.5,2.3373983739837456,-91.5
232,990,85.75,5.75,-85.75
233,1020,82.671875,3.078125,-82.671875
234,1050,76.14285714285714,6.529017857142861,-76.14285714285714
235,1080,71.08661417322834,5.056242969628798,-71.08661417322834
236,1110,72.17123287671232,-1.084618703483983,-72.17123287671232
237,1140,79.49668874172185,-7.3254558650095305,-79.49668874172185
238,1170,91.91390728476821,-12.41721854304636,-91.91390728476821
239,1200,97.24161073825503,-5.327703453486819,-97.24161073825503
240,1230,95.1259842519685,2.11562648628653,-95.1259842519685
241,1260,84.36690647482014,10.759077777148363,-84.36690647482014
242,1290,80.01986754966887,4.347038925151267,-80.01986754966887
243,1320,83.91558441558442,-3.8957168659155457,-83.91558441558442
244,1350,93.18831168831169,-9.272727272727266,-93.18831168831169
245,1380,97.50340136054422,-4.315089672232531,-97.50340136054422
246,1410,95.83561643835617,1.6677849221880479,-95.83561643835617
247,1440,93.28476821192054,2.550848226435633,-93.28476821192054
248,1470,91.65605095541402,1.628717256506519,-91.65605095541402
249,1500,91.09375,0.5623009554140168,-91.09375
250,1530,93.17763157894737,-2.08388157894737,-93.17763157894737
251,1560,93.97333333333333,-0.7957017543859592,-93.97333333333333
252,1590,93.61842105263158,0.35491228070175396,-93.61842105263158
253,1620,95.46666666666667,-1.8482456140350934,-95.46666666666667
254,1650,97.02,-1.5533333333333275,-97.02
255,1680,99.30666666666667,-2.286666666666676,-99.30666666666667
256,1710,97.53846153846153,1.768205128205139,-97.53846153846153
257,1740,87.3169014084507,10.221560130010829,-87.3169014084507
258,1770,83.61437908496733,3.702522323483379,-83.61437908496733
259,1800,87.35761589403974,-3.743236809072414,-87.35761589403974
260,1830,93.23776223776224,-5.880146343722501,-93.23776223776224
261,1860,94.69402985074628,-1.4562676129840355,-94.69402985074628
262,1890,93.80451127819549,0.8895185725507844,-93.80451127819549
263,1920,91.28467153284672,2.5198397453487758,-91.28467153284672
264,1950,89.68531468531468,1.5993568475320359,-89.68531468531468
265,1980,86.29133858267717,3.3939761026375095,-86.29133858267717
266,2010,80.99280575539568,5.298532827281491,-80.99280575539568
267,2040,81.05298013245033,-0.06017437705465056,-81.05298013245033
268,2070,86.57516339869281,-5.522183266242479,-86.57516339869281
269,2100,95.43790849673202,-8.862745098039213,-95.43790849673202
270,2130,97.1,-1.6620915032679733,-97.1
271,2160,93.27333333333333,3.826666666666668,-93.27333333333333
272,2190,93.12162162162163,0.15171171171169817,-93.12162162162163
273,2220,90.42857142857143,2.6930501930501975,-90.42857142857143
274,2250,87.36496350364963,3.063607924921797,-87.36496350364963
275,2280,78.63870967741936,8.726253826230277,-78.63870967741936
276,2310,78.66071428571429,-0.022004608294935224,-78.66071428571429
277,2340,85.95294117647059,-7.292226890756297,-85.95294117647059
278,2370,95.3,-9.347058823529409,-95.3
279,2400,98.89189189189189,-3.5918918918918905,-98.89189189189189
280,2430,98.52413793103449,0.3677539608573994,-98.52413793103449
281,2460,96.01574803149606,2.508389899538429,-96.01574803149606
282,2490,91.24778761061947,4.767960420876591,-91.24778761061947
283,2520,83.16666666666667,8.081120943952797,-83.16666666666667
284,2550,70.25252525252525,12.914141414141426,-70.25252525252525
285,2580,64.2090909090909,6.043434343434342,-64.2090909090909
286,2610,62.12403100775194,2.0850599013389655,-62.12403100775194
287,2640,70.4074074074074,-8.283376399655467,-70.4074074074074
288,2670,82.61971830985915,-12.212310902451748,-82.61971830985915
289,2700,92.46099290780141,-9.84127459794226,-92.46099290780141
290,2730,97.33333333333333,-4.872340425531917,-97.33333333333333
291,2760,99.51063829787235,-2.177304964539019,-99.51063829787235
292,2790,97.86330935251799,1.64732894535436,-97.86330935251799
293,2820,97.0,0.8633093525179873,-97.0
294,2850,96.60583941605839,0.3941605839416127,-96.60583941605839
295,2880,94.82644628099173,1.7793931350666554,-94.82644628099173
296,2910,94.14876033057851,0.6776859504132204,-94.14876033057851
297,2940,93.73770491803279,0.4110554125457213,-93.73770491803279
298,2970,93.38235294117646,0.35535197685632625,-93.38235294117646
299,3000,83.77678571428571,9.605567226890756,-83.77678571428571
300,3030,78.176,5.600785714285706,-78.176
301,3060,80.63358778625954,-2.4575877862595377,-80.63358778625954
302,3090,90.26771653543307,-9.634128749173527,-90.26771653543307
303,3120,92.2824427480916,-2.0147262126585304,-92.2824427480916
304,3150,91.91851851851852,0.36392422957307247,-91.91851851851852
305,3180,90.15602836879432,1.7624901497242007,-90.15602836879432
306,3210,90.3445945945946,-0.1885662258002725,-90.3445945945946
307,3240,93.33557046979865,-2.9909758752040574,-93.33557046979865
308,3270,94.875,-1.539429530201346,-94.875
309,3300,85.66153846153846,9.213461538461544,-85.66153846153846
